1754945717 1.8 1.5 0.3
1754945718 134 1.8 1.5
1754945719 198 1.8 1.5
1754945720 84.9 1.8 1.5
1754945721 59.7 1.7 1.5
1754945722 51.7 1.7 1.5
1754945723 171 1.7 1.4
1754945724 346 1.7 1.4
1754945725 372 1.7 1.4
1754945726 394 1.7 1.4
1754945727 396 1.7 1.4
1754945728 1.7 1.4 0.3
1754945729 100 1.7 1.4
1754945730 1.7 1.4 0.3
1754945731 1.7 1.4 0.3
1754945732 1.7 1.4 0.3
1754945733 225 1.7 1.4
1754945734 305 1.7 1.4
1754945735 200 1.7 1.4
1754945736 1.7 1.4 0.3
1754945737 192 1.7 1.4
1754945738 294 1.7 1.4
1754945739 343 1.7 1.4
1754945740 321 1.7 1.4
1754945741 200 1.7 1.4
1754945742 1.7 1.4 0.5
1754945743 286 1.6 1.4
1754945744 342 1.6 1.4
1754945745 219 1.6 1.3
1754945746 1.6 1.3 0.8
1754945747 238 1.6 1.3
1754945748 320 1.6 1.3
1754945749 322 1.6 1.3
1754945750 245 1.6 1.3
1754945751 160 1.6 1.3
1754945752 297 1.6 1.3
1754945753 287 1.6 1.3
1754945754 260 1.6 1.3
1754945755 226 1.6 1.3
1754945756 1.6 1.3 1.1
